id,away_losses,away_wins,home_losses,home_wins
400975715,26,38,45,20
400975716,26,38,30,35
400975717,45,20,35,29
400975718,45,21,38,28
400975719,29,35,31,35
400975720,20,46,29,38
400975721,48,19,29,38
400975722,28,37,14,51
400975723,43,22,36,30
400975724,46,20,28,38
400975725,14,51,17,48
400975726,30,36,47,18
400975727,42,24,31,35
400975728,28,38,27,38
400975729,36,29,30,36
400975730,15,51,26,40
400975731,46,20,45,21
400975732,27,38,29,35
400975733,49,19,38,29
400975734,29,38,31,36
400975735,48,18,45,21
400975736,29,37,29,39
400975737,47,20,29,36
400975738,17,49,43,24
400975739,43,23,47,20
400975740,16,51,29,39
400975741,30,37,28,38
400975742,46,21,30,37
400975743,14,52,46,21
400975744,28,39,21,46
400975745,29,36,46,21
400975746,28,38,36,30
400975747,30,37,14,53
400975748,31,36,49,18
400975749,47,21,29,40
400975750,32,36,26,41
400975751,28,40,30,36
400975752,29,40,30,38
400975753,29,41,48,20
400975754,17,50,47,21
400975755,46,22,44,24
400975756,29,37,44,23
400975757,39,29,28,39
400975758,48,20,30,38
400975759,37,30,30,38
400975760,28,39,50,19
400975761,31,37,36,31
400975762,32,36,48,21
400975763,30,39,22,46
400975764,33,36,47,22
400975765,37,31,16,52
400975766,17,51,29,40
400975767,39,30,49,20
400975768,30,37,45,24
400975769,30,37,14,54
400975770,44,24,50,18
400975771,29,39,30,39
400975772,38,30,31,38
400975773,51,19,30,39
400975774,29,39,26,42
400975775,22,47,49,21
400975776,48,21,30,38
400975777,47,22,17,52
400975778,31,37,29,42
400975779,47,23,17,52
400975780,33,37,38,31
400975781,30,40,30,40
400975782,14,55,30,39
400975783,48,22,48,22
400975784,40,30,45,25
400975785,29,40,45,24
400975786,32,38,50,19
400975787,50,20,32,37
400975788,30,40,30,40
400975789,48,23,30,40
400975790,17,53,52,19
400975791,39,30,26,43
400975792,29,43,18,52
400975793,23,47,30,40
400975794,14,56,31,40
400975795,26,44,32,37
400975796,33,37,29,41
400975797,39,31,30,41
400975798,41,30,30,39
400975799,51,19,48,23
400975800,33,38,33,38
400975801,46,24,45,26
400975802,18,53,30,41
400975803,39,31,49,23
400975804,18,53,50,21
400975805,30,43,23,48
400975806,33,37,31,41
400975807,49,22,30,41
400975808,50,21,31,40
400975809,39,32,53,19
400975810,14,57,27,44
400975811,19,53,29,42
400975812,52,19,30,40
400975813,41,31,49,23
400975814,46,26,33,39
400975815,33,39,47,24
400975816,33,38,34,37
400975817,31,40,30,42
400975818,53,19,41,32
400975819,30,41,51,21
400975820,40,32,14,58
400975821,40,31,30,43
400975822,31,41,50,22
400975823,51,21,49,24
400975824,34,38,31,42
400975825,33,40,32,40
400975826,54,19,29,43
400975827,31,42,47,26
400975828,50,23,19,54
400975829,34,38,48,24
400975830,34,39,30,44
400975831,32,41,30,43
400975832,23,49,28,44
400975833,52,21,18,54
400975834,32,42,30,42
400975835,49,24,40,33
400975836,55,19,51,22
400975837,31,43,14,59
400975838,40,32,54,19
400975839,41,33,51,22
400975840,29,44,51,23
400975841,31,43,34,39
400975842,35,39,31,43
400975843,34,39,20,54
400975844,47,27,33,40
400975845,23,50,50,24
400975846,28,45,31,44
400975847,53,21,14,60
400975848,32,42,19,54
400975849,48,27,41,34
400975850,41,32,40,34
400975851,34,40,30,43
400975852,54,20,33,42
400975853,23,51,56,19
400975854,32,43,33,41
400975855,35,40,20,55
400975856,30,44,35,40
400975857,50,24,14,61
400975858,28,46,32,43
400975859,51,23,51,24
400975860,31,44,20,54
400975861,35,39,34,40
400975862,30,45,42,34
400975863,51,24,52,22
400975864,49,27,30,44
400975865,29,46,54,21
400975866,54,21,33,43
400975867,23,52,33,42
400975868,34,41,57,19
400975869,52,23,41,33
400975870,34,41,40,35
400975871,51,24,35,41
400975872,32,44,32,44
400975873,31,45,52,24
400975874,35,40,21,54
400975875,51,25,53,22
400975876,30,45,55,21
400975877,33,43,30,46
400975878,58,19,14,62
400975879,35,41,33,44
400975880,33,44,53,23
400975881,55,21,33,43
400975882,35,41,42,33
400975883,35,41,29,47
400975884,43,34,34,42
400975885,40,36,50,27
400975886,21,55,23,53
400975887,51,25,36,41
400975888,21,55,53,24
400975889,30,46,44,34
400975890,35,42,51,26
400975891,15,62,32,45
400975892,31,46,36,41
400975893,54,22,55,22
400975894,40,37,52,25
400975895,54,23,30,47
400975896,33,45,34,43
400975897,33,44,34,44
400975898,36,41,35,42
400975899,59,19,21,56
400975900,56,21,29,48
400975901,53,25,43,33
400975902,22,55,30,48
400975903,53,25,30,47
400975904,56,22,36,42
